"filename", "language", "JSON", "JavaScript", "Markdown", "XML", "TypeScript", "comment", "blank", "total"
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\shuffle.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 8, 45
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\skip.ts", "TypeScript", 0, 0, 0, 0, 48, 0, 13, 61
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\skipto.ts", "TypeScript", 0, 0, 0, 0, 44, 0, 6, 50
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\stop.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 8, 50
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\volume.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 10, 55
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\utility\poll.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 7, 41
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\utility\serverinfo.ts", "TypeScript", 0, 0, 0, 0, 149, 0, 9, 158
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\utility\userinfo.ts", "TypeScript", 0, 0, 0, 0, 165, 0, 9, 174
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\waifu\switch.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 35
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\waifu\waifu.ts", "TypeScript", 0, 0, 0, 0, 89, 34, 6, 129
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\waifu\waifupack.ts", "TypeScript", 0, 0, 0, 0, 59, 0, 2, 61
"c:\Users\Connor\Documents\GitHub\Chika\src\events\guildCreate.ts", "TypeScript", 0, 0, 0, 0, 61, 0, 6, 67
"c:\Users\Connor\Documents\GitHub\Chika\src\events\guildDelete.ts", "TypeScript", 0, 0, 0, 0, 55, 0, 4, 59
"c:\Users\Connor\Documents\GitHub\Chika\src\events\guildMemberAdd.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 1, 23
"c:\Users\Connor\Documents\GitHub\Chika\src\events\guildMemberRemove.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 13
"c:\Users\Connor\Documents\GitHub\Chika\src\events\message.ts", "TypeScript", 0, 0, 0, 0, 123, 0, 32, 155
"c:\Users\Connor\Documents\GitHub\Chika\src\events\ready.ts", "TypeScript", 0, 0, 0, 0, 36, 9, 3, 48
"c:\Users\Connor\Documents\GitHub\Chika\src\events\voiceStateUpdate.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\Connor\Documents\GitHub\Chika\src\main.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 5, 36
"c:\Users\Connor\Documents\GitHub\Chika\src\structures\Client.ts", "TypeScript", 0, 0, 0, 0, 61, 0, 5, 66
"c:\Users\Connor\Documents\GitHub\Chika\src\structures\Database.ts", "TypeScript", 0, 0, 0, 0, 9, 1, 1, 11
"c:\Users\Connor\Documents\GitHub\Chika\src\structures\Embeds.ts", "TypeScript", 0, 0, 0, 0, 53, 0, 10, 63
"c:\Users\Connor\Documents\GitHub\Chika\src\utils\config.ts", "TypeScript", 0, 0, 0, 0, 182, 0, 6, 188
"c:\Users\Connor\Documents\GitHub\Chika\src\utils\functions.ts", "TypeScript", 0, 0, 0, 0, 127, 0, 21, 148
"c:\Users\Connor\Documents\GitHub\Chika\src\utils\languages\de_de.ts", "TypeScript", 0, 0, 0, 0, 442, 0, 0, 442
"c:\Users\Connor\Documents\GitHub\Chika\src\utils\languages\en_us.ts", "TypeScript", 0, 0, 0, 0, 442, 0, 0, 442
"c:\Users\Connor\Documents\GitHub\Chika\tsconfig.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\Connor\Documents\GitHub\Chika\tslint.json", "JSON", 11, 0, 0, 0, 0, 0, 1, 12
"Total", "-", 1777, 5395, 1, 102, 4526, 106, 488, 12395
